PackageName,DealType,MRP,Price,Gender,TestDetails
Test 1,Wellness Bundle,1800,610,All,"Lipid Profile (9):Total Cholesterol,Triglycerides,HDL Cholesterol,LDL Cholesterol,VLDL Cholesterol,Total Cholesterol/HDL Ratio,LDL/HDL Ratio,HDL/LDL Ratio,Non-HDL Cholesterol | Liver Function Test (11):Bilirubin Total,Bilirubin Direct,Bilirubin Indirect,SGOT (AST),SGPT (ALT),SGPT/SGOT Ratio,Alkaline Phosphatase,Total Protein,Albumin,Globulin,Albumin/Globulin Ratio | Kidney Function Test (6):Blood Urea Nitrogen (BUN),Serum Creatinine,BUN/Creatinine Ratio,Uric Acid,Calcium,Phosphorus | Complete Blood Count (14):Hemoglobin,Total RBC,Packed Cell Volume (PCV),Mean Corpuscular Volume (MCV),MCH,MCHC,Total WBC,Differential Count,Platelet Count | Thyroid Profile (3):Triiodothyronine (T3),Thyroxine (T4),Thyroid Stimulating Hormone (TSH) | Blood Sugar & Inflammation (2):Blood Glucose Fasting (BGF),Erythrocyte Sedimentation Rate (ESR)"
Test 2,Lab Atoms,1950,650,All,"Inflammation & Arthritis Markers (4):ASO Titre Quantitative,C-Reactive Protein (CRP),Rheumatoid Factor (RA),Serum Uric Acid | General Blood & ESR (18):Complete Blood Count (CBC - 16 parameters),Erythrocyte Sedimentation Rate (ESR),Blood Glucose Random | Bone Mineral Markers (16):Serum Calcium,Serum Phosphorus,Vitamin D Total,Parathyroid Hormone (Intact PTH)"
Test 3,Wellness Bundle,2400,750,All,"Diabetes Screening (2):Blood Glucose Fasting,HbA1c (Glycated Hemoglobin) | Iron Deficiency Panel (3):Serum Iron,Total Iron Binding Capacity (TIBC),Transferrin Saturation | Comprehensive Profiles (57):Lipid Profile (9),Liver Function Test (11),Kidney Function Test (6),Complete Blood Count (14),Thyroid Profile (3),Electrolytes & ESR (14)"
Test 4,Organ Health,2500,750,All,"Infectious Disease Screening (3):HIV I & II Antibodies,HBsAg (Hepatitis B Surface Antigen),Anti-HCV Antibody | Coagulation & Blood Group (3):Prothrombin Time (PT/INR),Bleeding Time & Clotting Time,ABO Blood Group & Rh Typing | Metabolic & Organ Screening (69):Complete Blood Count (14),Kidney Function (BUN, Creatinine, Electrolytes),Random Blood Sugar,Thyroid Screening (TSH),VDRL/RPR test"
Test 5,Lab Atoms,2900,950,All,"Advanced Autoimmune Markers (2):Anti-Cyclic Citrullinated Peptide (Anti-CCP),Rheumatoid Arthritis (RA) Factor Quantitative | Inflammation & Bone Health (46):ASO Titre,C-Reactive Protein (High Sensitivity),Serum Uric Acid,Complete Blood Count (14),Calcium, Magnesium, Phosphorus"
Test 6,Organ Health,4500,1900,Female,"HPV DNA Assay (10):High Risk HPV Genotypes 16 & 18,Other High Risk HPV Types,Internal Control Validation | Cytology (2):PAP Smear Liquid Based Cytology (LBC),Cellular Adequacy & Microscopic Findings"
Test 7,Wellness Bundle,3200,975,All,"Vitamins & Nutritional Status (2):Vitamin B12 (Cyanocobalamin),25-Hydroxy Vitamin D3 | Diabetes & Iron Panel (5):Fasting Blood Glucose,HbA1c,Serum Iron,TIBC,Transferrin Saturation | Core Health Panels (73):Lipid Profile,Liver Function Test,Kidney Function Test,Complete Blood Count,Thyroid Profile,Electrolytes"
Test 8,Wellness Bundle,3800,1250,Male,"Hormonal & Fitness Markers (2):Total Testosterone,Immunoglobulin E (IgE Total) | Vitamins & Complete Organ Profiling (90):Vitamin B12,Vitamin D,Lipid Profile Advanced,Liver Function Test,Kidney Function Test,Complete Blood Count,Thyroid Profile,Urine Routine (14 params)"
Test 9,Wellness Bundle,3950,1300,Female,"Female Reproductive Hormones (3):Follicle Stimulating Hormone (FSH),Luteinizing Hormone (LH),Prolactin | Comprehensive Panels (95):Vitamin B12 & D,Complete Blood Count,Liver, Kidney & Lipid Profiles,Thyroid Panel,Urine Routine Analysis"
Test 10,Wellness Bundle,3400,1125,All,"Inflammation & Vitamins (4):C-Reactive Protein (CRP),Rheumatoid Factor,Vitamin B12,Vitamin D Total | Advanced Clinical Biochemistry (84):Advanced Lipid Profile,Liver Function Test,Kidney Function Test,Complete Blood Count,Thyroid Function Test,Iron Deficiency Panel"
Test 11,Wellness Bundle,4200,1450,All,"Cardiac & Pancreatic Markers (3):Apolipoprotein A1 & B (ApoA1/ApoB ratio),Serum Amylase,High Sensitivity CRP (hs-CRP) | Full Spectrum Diagnostics (107):Complete Blood Count,Liver, Kidney & Lipid Profiles,Thyroid Profile,Vitamins B12 & D,Hepatitis B Screen,Urine Routine Analysis"
Test 12,Lab Atoms,7500,3650,All,"Antiphospholipid Antibody Suite (5):Beta-2-Glycoprotein 1 (IgG & IgM),Cardiolipin Antibodies (ACL IgG & IgM),Lupus Anticoagulant Confirmatory Assay | Clinical Validation (25):Coagulation Profile,Platelet Function Evaluation"
Swasthya Mitra BASIC,Wellness Bundle,1800,610,All,"Lipid Profile (9):Total Cholesterol,Triglycerides,HDL Cholesterol,LDL Cholesterol,VLDL Cholesterol,Total Cholesterol/HDL Ratio,LDL/HDL Ratio,HDL/LDL Ratio,Non-HDL Cholesterol | Liver Function Test (11):Bilirubin Total,Bilirubin Direct,Bilirubin Indirect,SGOT (AST),SGPT (ALT),SGPT/SGOT Ratio,Alkaline Phosphatase,Total Protein,Albumin,Globulin,Albumin/Globulin Ratio | Kidney Function Test (6):Blood Urea Nitrogen (BUN),Serum Creatinine,BUN/Creatinine Ratio,Uric Acid,Calcium,Phosphorus | Complete Blood Count (14):Hemoglobin,Total RBC,Packed Cell Volume (PCV),Mean Corpuscular Volume (MCV),MCH,MCHC,Total WBC,Differential Count,Platelet Count | Thyroid Profile (3):Triiodothyronine (T3),Thyroxine (T4),Thyroid Stimulating Hormone (TSH) | Blood Sugar & Inflammation (2):Blood Glucose Fasting (BGF),Erythrocyte Sedimentation Rate (ESR)"
Arthritis Panel Basic,Lab Atoms,1950,650,All,"Inflammation & Arthritis Markers (4):ASO Titre Quantitative,C-Reactive Protein (CRP),Rheumatoid Factor (RA),Serum Uric Acid | General Blood & ESR (18):Complete Blood Count (CBC - 16 parameters),Erythrocyte Sedimentation Rate (ESR),Blood Glucose Random | Bone Mineral Markers (16):Serum Calcium,Serum Phosphorus,Vitamin D Total,Parathyroid Hormone (Intact PTH)"
Swasthya Mitra ADVANCE,Wellness Bundle,2400,750,All,"Diabetes Screening (2):Blood Glucose Fasting,HbA1c (Glycated Hemoglobin) | Iron Deficiency Panel (3):Serum Iron,Total Iron Binding Capacity (TIBC),Transferrin Saturation | Comprehensive Profiles (57):Lipid Profile (9),Liver Function Test (11),Kidney Function Test (6),Complete Blood Count (14),Thyroid Profile (3),Electrolytes & ESR (14)"
PreOperative Panel,Organ Health,2500,750,All,"Infectious Disease Screening (3):HIV I & II Antibodies,HBsAg (Hepatitis B Surface Antigen),Anti-HCV Antibody | Coagulation & Blood Group (3):Prothrombin Time (PT/INR),Bleeding Time & Clotting Time,ABO Blood Group & Rh Typing | Metabolic & Organ Screening (69):Complete Blood Count (14),Kidney Function (BUN, Creatinine, Electrolytes),Random Blood Sugar,Thyroid Screening (TSH),VDRL/RPR test"
Arthritis Panel Advance,Lab Atoms,2900,950,All,"Advanced Autoimmune Markers (2):Anti-Cyclic Citrullinated Peptide (Anti-CCP),Rheumatoid Arthritis (RA) Factor Quantitative | Inflammation & Bone Health (46):ASO Titre,C-Reactive Protein (High Sensitivity),Serum Uric Acid,Complete Blood Count (14),Calcium, Magnesium, Phosphorus | HI:General Parameter"
Cervical Screening,Organ Health,4500,1900,Female,"HPV DNA Assay (10):High Risk HPV Genotypes 16 & 18,Other High Risk HPV Types,Internal Control Validation | Cytology (2):PAP Smear Liquid Based Cytology (LBC),Cellular Adequacy & Microscopic Findings"
Swasthya Mitra PREMIUM,Wellness Bundle,3200,975,All,"Vitamins & Nutritional Status (2):Vitamin B12 (Cyanocobalamin),25-Hydroxy Vitamin D3 | Diabetes & Iron Panel (5):Fasting Blood Glucose,HbA1c,Serum Iron,TIBC,Transferrin Saturation | Core Health Panels (73):Lipid Profile,Liver Function Test,Kidney Function Test,Complete Blood Count,Thyroid Profile,Electrolytes"
Gym Health - Male,Wellness Bundle,3800,1250,Male,"Hormonal & Fitness Markers (2):Total Testosterone,Immunoglobulin E (IgE Total) | Vitamins & Complete Organ Profiling (90):Vitamin B12,Vitamin D,Lipid Profile Advanced,Liver Function Test,Kidney Function Test,Complete Blood Count,Thyroid Profile,Urine Routine (14 params)"
Gym Health - Female,Wellness Bundle,3950,1300,Female,"Female Reproductive Hormones (3):Follicle Stimulating Hormone (FSH),Luteinizing Hormone (LH),Prolactin | Comprehensive Panels (95):Vitamin B12 & D,Complete Blood Count,Liver, Kidney & Lipid Profiles,Thyroid Panel,Urine Routine Analysis"
Swasthya Mitra Super,Wellness Bundle,3400,1125,All,"Inflammation & Vitamins (4):C-Reactive Protein (CRP),Rheumatoid Factor,Vitamin B12,Vitamin D Total | Advanced Clinical Biochemistry (84):Advanced Lipid Profile,Liver Function Test,Kidney Function Test,Complete Blood Count,Thyroid Function Test,Iron Deficiency Panel"
Swasthya COMPLETE,Wellness Bundle,4200,1450,All,"Cardiac & Pancreatic Markers (3):Apolipoprotein A1 & B (ApoA1/ApoB ratio),Serum Amylase,High Sensitivity CRP (hs-CRP) | Full Spectrum Diagnostics (107):Complete Blood Count,Liver, Kidney & Lipid Profiles,Thyroid Profile,Vitamins B12 & D,Hepatitis B Screen,Urine Routine Analysis"
SWASTHYA APLA Panel,Lab Atoms,7500,3650,All,"Antiphospholipid Antibody Suite (5):Beta-2-Glycoprotein 1 (IgG & IgM),Cardiolipin Antibodies (ACL IgG & IgM),Lupus Anticoagulant Confirmatory Assay | Clinical Validation (25):Coagulation Profile,Platelet Function Evaluation"
fake,Lab Atoms,9000,50,All,fake(12) | fake double(13)
